palabra;ocurrencia;noqueja;queja
completar;0;0.982248521;0.99408284
completar;1;0.017751479;0.00591716
spain;0;0.970414201;0.99408284
spain;1;0.029585799;0.00591716
vasco;0;0.98816568;0.99408284
vasco;1;0.01183432;0.00591716
vitoriagasteiz;0;0.887573964;0.905325444
vitoriagasteiz;1;0.112426036;0.094674556
asumir;0;0.99408284;0.98816568
asumir;1;0.00591716;0.01183432
contrato;0;0.99408284;0.982248521
contrato;1;0.00591716;0.017751479
directo;0;0.982248521;0.970414201
directo;1;0.017751479;0.029585799
empresa;0;0.98816568;0.976331361
empresa;1;0.01183432;0.023668639
escenario;0;0.98816568;0.99408284
escenario;1;0.01183432;0.00591716
gestion;0;0.98816568;0.970414201
gestion;1;0.01183432;0.029585799
haber;0;0.905325444;0.857988166
haber;1;0.094674556;0.142011834
limpieza;0;0.976331361;0.934911243
limpieza;1;0.023668639;0.065088757
nuevo;0;0.98816568;0.98816568
nuevo;1;0.01183432;0.01183432
posible;0;0.99408284;0.98816568
posible;1;0.00591716;0.01183432
seguir;0;0.946745562;0.958579882
seguir;1;0.053254438;0.041420118
cumplir;0;0.98816568;0.970414201
cumplir;1;0.01183432;0.029585799
europa;0;0.982248521;0.98816568
europa;1;0.017751479;0.01183432
gasteiz;0;0.905325444;0.98816568
gasteiz;1;0.094674556;0.01183432
gernika;0;0.976331361;0.99408284
gernika;1;0.023668639;0.00591716
hoy;0;0.940828402;0.976331361
hoy;1;0.059171598;0.023668639
jornada;0;0.982248521;0.99408284
jornada;1;0.017751479;0.00591716
ley;0;0.98816568;0.98816568
ley;1;0.01183432;0.01183432
ser;0;0.840236686;0.804733728
ser;1;0.159763314;0.195266272
autobus;0;0.982248521;0.946745562
autobus;1;0.017751479;0.053254438
entrar;0;0.970414201;0.934911243
entrar;1;0.029585799;0.065088757
vez;0;0.964497041;0.976331361
vez;1;0.035502959;0.023668639
concejal;0;0.99408284;0.98816568
concejal;1;0.00591716;0.01183432
sucio;0;0.98816568;0.98816568
sucio;1;0.01183432;0.01183432
vitoria;0;0.869822485;0.846153846
vitoria;1;0.130177515;0.153846154
ayuntamiento;0;0.976331361;0.946745562
ayuntamiento;1;0.023668639;0.053254438
hacer;0;0.970414201;0.928994083
hacer;1;0.029585799;0.071005917
olaguibel;0;0.99408284;0.98816568
olaguibel;1;0.00591716;0.01183432
parada;0;0.99408284;0.98816568
parada;1;0.00591716;0.01183432
tiempo;0;0.976331361;0.98816568
tiempo;1;0.023668639;0.01183432
unir;0;0.934911243;0.846153846
unir;1;0.065088757;0.153846154
dar;0;0.952662722;0.964497041
dar;1;0.047337278;0.035502959
tarde;0;0.982248521;0.98816568
tarde;1;0.017751479;0.01183432
tener;0;0.952662722;0.923076923
tener;1;0.047337278;0.076923077
ahora;0;0.964497041;0.98816568
ahora;1;0.035502959;0.01183432
contenedor;0;0.98816568;0.952662722
contenedor;1;0.01183432;0.047337278
viajar;0;0.98816568;0.99408284
viajar;1;0.01183432;0.00591716
año;0;0.958579882;0.982248521
año;1;0.041420118;0.017751479
colocar;0;0.99408284;0.98816568
colocar;1;0.00591716;0.01183432
mismo;0;0.982248521;0.982248521
mismo;1;0.017751479;0.017751479
parar;0;0.928994083;0.911242604
parar;1;0.071005917;0.088757396
problema;0;0.893491124;0.958579882
problema;1;0.106508876;0.041420118
riesgo;0;0.98816568;0.98816568
riesgo;1;0.01183432;0.01183432
sitio;0;0.98816568;0.976331361
sitio;1;0.01183432;0.023668639
volver;0;0.982248521;0.976331361
volver;1;0.017751479;0.023668639
miedo;0;0.99408284;0.982248521
miedo;1;0.00591716;0.017751479
preguntar;0;0.99408284;0.982248521
preguntar;1;0.00591716;0.017751479
servicio;0;0.982248521;0.934911243
servicio;1;0.017751479;0.065088757
ciclista;0;0.98816568;0.98816568
ciclista;1;0.01183432;0.01183432
coche;0;0.99408284;0.958579882
coche;1;0.00591716;0.041420118
huir;0;0.98816568;0.98816568
huir;1;0.01183432;0.01183432
tras;0;0.982248521;0.970414201
tras;1;0.017751479;0.029585799
alguien;0;0.98816568;0.98816568
alguien;1;0.01183432;0.01183432
basura;0;0.976331361;0.964497041
basura;1;0.023668639;0.035502959
ciudadano;0;0.99408284;0.98816568
ciudadano;1;0.00591716;0.01183432
duda;0;0.98816568;0.99408284
duda;1;0.01183432;0.00591716
partido;0;0.98816568;0.98816568
partido;1;0.01183432;0.01183432
podrir;0;0.99408284;0.98816568
podrir;1;0.00591716;0.01183432
respaldar;0;0.99408284;0.98816568
respaldar;1;0.00591716;0.01183432
atropellar;0;0.99408284;0.982248521
atropellar;1;0.00591716;0.017751479
bici;0;0.98816568;0.940828402
bici;1;0.01183432;0.059171598
dejar;0;0.99408284;0.958579882
dejar;1;0.00591716;0.041420118
distancia;0;0.99408284;0.982248521
distancia;1;0.00591716;0.017751479
podar;0;0.98816568;0.970414201
podar;1;0.01183432;0.029585799
salgar;0;0.98816568;0.98816568
salgar;1;0.01183432;0.01183432
siempre;0;0.98816568;0.982248521
siempre;1;0.01183432;0.017751479
aqui;0;0.976331361;0.99408284
aqui;1;0.023668639;0.00591716
avion;0;0.98816568;0.98816568
avion;1;0.01183432;0.01183432
enterar;0;0.982248521;0.99408284
enterar;1;0.017751479;0.00591716
salir;0;0.982248521;0.982248521
salir;1;0.017751479;0.017751479
arma;0;0.98816568;0.98816568
arma;1;0.01183432;0.01183432
ayuda;0;0.99408284;0.98816568
ayuda;1;0.00591716;0.01183432
blanco;0;0.98816568;0.976331361
blanco;1;0.01183432;0.023668639
conductor;0;0.99408284;0.982248521
conductor;1;0.00591716;0.017751479
local;0;0.99408284;0.976331361
local;1;0.00591716;0.023668639
policia;0;0.98816568;0.982248521
policia;1;0.01183432;0.017751479
tres;0;0.982248521;0.958579882
tres;1;0.017751479;0.041420118
vehiculo;0;0.99408284;0.976331361
vehiculo;1;0.00591716;0.023668639
doblar;0;0.99408284;0.98816568
doblar;1;0.00591716;0.01183432
figura;0;0.99408284;0.99408284
figura;1;0.00591716;0.00591716
tertulia;0;0.99408284;0.99408284
tertulia;1;0.00591716;0.00591716
olor;0;0.982248521;0.976331361
olor;1;0.017751479;0.023668639
poder;0;0.952662722;0.970414201
poder;1;0.047337278;0.029585799
venir;0;0.982248521;0.982248521
venir;1;0.017751479;0.017751479
contar;0;0.982248521;0.99408284
contar;1;0.017751479;0.00591716
decir;0;0.976331361;0.976331361
decir;1;0.023668639;0.023668639
punto;0;0.982248521;0.99408284
punto;1;0.017751479;0.00591716
ataque;0;0.982248521;0.99408284
ataque;1;0.017751479;0.00591716
dia;0;0.952662722;0.964497041
dia;1;0.047337278;0.035502959
gran;0;0.982248521;0.98816568
gran;1;0.017751479;0.01183432
morir;0;0.976331361;0.982248521
morir;1;0.023668639;0.017751479
cuando;0;0.99408284;0.98816568
cuando;1;0.00591716;0.01183432
gustar;0;0.99408284;0.99408284
gustar;1;0.00591716;0.00591716
pensar;0;0.982248521;0.982248521
pensar;1;0.017751479;0.017751479
saber;0;0.976331361;0.982248521
saber;1;0.023668639;0.017751479
semaforo;0;0.99408284;0.982248521
semaforo;1;0.00591716;0.017751479
green;0;0.98816568;0.958579882
green;1;0.01183432;0.041420118
semana;0;0.982248521;0.98816568
semana;1;0.017751479;0.01183432
ultimo;0;0.982248521;0.98816568
ultimo;1;0.017751479;0.01183432
contrata;0;0.99408284;0.982248521
contrata;1;0.00591716;0.017751479
mundial;0;0.99408284;0.98816568
mundial;1;0.00591716;0.01183432
urtaran;0;0.982248521;0.982248521
urtaran;1;0.017751479;0.017751479
humo;0;0.98816568;0.982248521
humo;1;0.01183432;0.017751479
madrugada;0;0.98816568;0.982248521
madrugada;1;0.01183432;0.017751479
palacio;0;0.98816568;0.982248521
palacio;1;0.01183432;0.017751479
acumulacion;0;0.99408284;0.982248521
acumulacion;1;0.00591716;0.017751479
jardin;0;0.99408284;0.976331361
jardin;1;0.00591716;0.023668639
salburua;0;0.98816568;0.982248521
salburua;1;0.01183432;0.017751479
suciedad;0;0.99408284;0.982248521
suciedad;1;0.00591716;0.017751479
calle;0;0.946745562;0.905325444
calle;1;0.053254438;0.094674556
florido;0;0.98816568;0.970414201
florido;1;0.01183432;0.029585799
triste;0;0.982248521;0.99408284
triste;1;0.017751479;0.00591716
verdad;0;0.98816568;0.98816568
verdad;1;0.01183432;0.01183432
abrir;0;0.99408284;0.982248521
abrir;1;0.00591716;0.017751479
centro;0;0.99408284;0.970414201
centro;1;0.00591716;0.029585799
civico;0;0.99408284;0.982248521
civico;1;0.00591716;0.017751479
querer;0;0.976331361;0.982248521
querer;1;0.023668639;0.017751479
alrededor;0;0.982248521;0.99408284
alrededor;1;0.017751479;0.00591716
capital;0;0.98816568;0.982248521
capital;1;0.01183432;0.017751479
ciudad;0;0.982248521;0.970414201
ciudad;1;0.017751479;0.029585799
fiesta;0;0.976331361;0.976331361
fiesta;1;0.023668639;0.023668639
alava;0;0.976331361;0.98816568
alava;1;0.023668639;0.01183432
edificio;0;0.99408284;0.982248521
edificio;1;0.00591716;0.017751479
pleno;0;0.99408284;0.98816568
pleno;1;0.00591716;0.01183432
cerrada;0;0.98816568;0.98816568
cerrada;1;0.01183432;0.01183432
mañana;0;0.964497041;0.970414201
mañana;1;0.035502959;0.029585799
ver;0;0.964497041;0.982248521
ver;1;0.035502959;0.017751479
foto;0;0.99408284;0.98816568
foto;1;0.00591716;0.01183432
retreta;0;0.99408284;0.99408284
retreta;1;0.00591716;0.00591716
contaminacion;0;0.99408284;0.982248521
contaminacion;1;0.00591716;0.017751479
gris;0;0.99408284;0.976331361
gris;1;0.00591716;0.023668639
romper;0;0.98816568;0.98816568
romper;1;0.01183432;0.01183432
zabalgana;0;0.99408284;0.982248521
zabalgana;1;0.00591716;0.017751479
baskonia;0;0.970414201;0.98816568
baskonia;1;0.029585799;0.01183432
borrar;0;0.982248521;0.99408284
borrar;1;0.017751479;0.00591716
bueno;0;0.958579882;0.982248521
bueno;1;0.041420118;0.017751479
comer;0;0.958579882;0.952662722
comer;1;0.041420118;0.047337278
hora;0;0.970414201;0.970414201
hora;1;0.029585799;0.029585799
luego;0;0.98816568;0.99408284
luego;1;0.01183432;0.00591716
pues;0;0.982248521;0.98816568
pues;1;0.017751479;0.01183432
carril;0;0.99408284;0.923076923
carril;1;0.00591716;0.076923077
ocupacion;0;0.99408284;0.928994083
ocupacion;1;0.00591716;0.071005917
colegio;0;0.99408284;0.976331361
colegio;1;0.00591716;0.023668639
entrada;0;0.98816568;0.98816568
entrada;1;0.01183432;0.01183432
koldo;0;0.99408284;0.98816568
koldo;1;0.00591716;0.01183432
mitxelena;0;0.99408284;0.98816568
mitxelena;1;0.00591716;0.01183432
poner;0;0.982248521;0.982248521
poner;1;0.017751479;0.017751479
pagina;0;0.98816568;0.982248521
pagina;1;0.01183432;0.017751479
solicitar;0;0.99408284;0.98816568
solicitar;1;0.00591716;0.01183432
valorar;0;0.98816568;0.98816568
valorar;1;0.01183432;0.01183432
mayo;0;0.964497041;0.98816568
mayo;1;0.035502959;0.01183432
castilla;0;0.99408284;0.98816568
castilla;1;0.00591716;0.01183432
deja;0;0.99408284;0.98816568
deja;1;0.00591716;0.01183432
minuto;0;0.99408284;0.99408284
minuto;1;0.00591716;0.00591716
fcc;0;0.99408284;0.982248521
fcc;1;0.00591716;0.017751479
rescindir;0;0.99408284;0.98816568
rescindir;1;0.00591716;0.01183432
cepo;0;0.99408284;0.976331361
cepo;1;0.00591716;0.023668639
elorriaga;0;0.99408284;0.982248521
elorriaga;1;0.00591716;0.017751479
huerta;0;0.99408284;0.976331361
huerta;1;0.00591716;0.023668639
ilegal;0;0.99408284;0.970414201
ilegal;1;0.00591716;0.029585799
instalar;0;0.99408284;0.976331361
instalar;1;0.00591716;0.023668639
zorro;0;0.99408284;0.970414201
zorro;1;0.00591716;0.029585799
increible;0;0.98816568;0.98816568
increible;1;0.01183432;0.01183432
puto;0;0.976331361;0.98816568
puto;1;0.023668639;0.01183432
robo;0;0.982248521;0.976331361
robo;1;0.017751479;0.023668639
pescado;0;0.99408284;0.98816568
pescado;1;0.00591716;0.01183432
sansomendi;0;0.99408284;0.98816568
sansomendi;1;0.00591716;0.01183432
beber;0;0.98816568;0.99408284
beber;1;0.01183432;0.00591716
niño;0;0.982248521;0.99408284
niño;1;0.017751479;0.00591716
barrio;0;0.98816568;0.982248521
barrio;1;0.01183432;0.017751479
cortar;0;0.98816568;0.98816568
cortar;1;0.01183432;0.01183432
parecer;0;0.982248521;0.976331361
parecer;1;0.017751479;0.023668639
pena;0;0.98816568;0.98816568
pena;1;0.01183432;0.01183432
declaracion;0;0.98816568;0.99408284
declaracion;1;0.01183432;0.00591716
espejo;0;0.99408284;0.99408284
espejo;1;0.00591716;0.00591716
falta;0;0.98816568;0.982248521
falta;1;0.01183432;0.017751479
frente;0;0.99408284;0.982248521
frente;1;0.00591716;0.017751479
durar;0;0.99408284;0.98816568
durar;1;0.00591716;0.01183432
radio;0;0.99408284;0.98816568
radio;1;0.00591716;0.01183432
accidente;0;0.976331361;0.976331361
accidente;1;0.023668639;0.023668639
herido;0;0.982248521;0.976331361
herido;1;0.017751479;0.023668639
lugar;0;0.99408284;0.98816568
lugar;1;0.00591716;0.01183432
tranvia;0;0.99408284;0.934911243
tranvia;1;0.00591716;0.065088757
trafico;0;0.976331361;0.946745562
trafico;1;0.023668639;0.053254438
turismo;0;0.99408284;0.964497041
turismo;1;0.00591716;0.035502959
asco;0;0.952662722;0.98816568
asco;1;0.047337278;0.01183432
baja;0;0.99408284;0.98816568
baja;1;0.00591716;0.01183432
beato;0;0.99408284;0.982248521
beato;1;0.00591716;0.017751479
cerca;0;0.99408284;0.982248521
cerca;1;0.00591716;0.017751479
corte;0;0.99408284;0.976331361
corte;1;0.00591716;0.023668639
tomas;0;0.99408284;0.982248521
tomas;1;0.00591716;0.017751479
zumarraga;0;0.99408284;0.982248521
zumarraga;1;0.00591716;0.017751479
sanprudencio;0;0.964497041;0.99408284
sanprudencio;1;0.035502959;0.00591716
evdia;0;0.970414201;0.99408284
evdia;1;0.029585799;0.00591716
llena;0;0.98816568;0.99408284
llena;1;0.01183432;0.00591716
sentido;0;0.98816568;0.98816568
sentido;1;0.01183432;0.01183432
vida;0;0.976331361;0.976331361
vida;1;0.023668639;0.023668639
frase;0;0.98816568;0.99408284
frase;1;0.01183432;0.00591716
ganado;0;0.98816568;0.99408284
ganado;1;0.01183432;0.00591716
gente;0;0.98816568;0.98816568
gente;1;0.01183432;0.01183432
perder;0;0.99408284;0.98816568
perder;1;0.00591716;0.01183432
derecho;0;0.98816568;0.976331361
derecho;1;0.01183432;0.023668639
violencia;0;0.976331361;0.98816568
violencia;1;0.023668639;0.01183432
agua;0;0.98816568;0.976331361
agua;1;0.01183432;0.023668639
final;0;0.982248521;0.98816568
final;1;0.017751479;0.01183432
rotonda;0;0.98816568;0.940828402
rotonda;1;0.01183432;0.059171598
bizikleteroak;0;0.99408284;0.98816568
bizikleteroak;1;0.00591716;0.01183432
situacion;0;0.99408284;0.982248521
situacion;1;0.00591716;0.017751479
como;0;0.99408284;0.98816568
como;1;0.00591716;0.01183432
publicar;0;0.99408284;0.99408284
publicar;1;0.00591716;0.00591716
twitter;0;0.99408284;0.99408284
twitter;1;0.00591716;0.00591716
arbitraje;0;0.982248521;0.99408284
arbitraje;1;0.017751479;0.00591716
favor;0;0.976331361;0.99408284
favor;1;0.023668639;0.00591716
grande;0;0.970414201;0.99408284
grande;1;0.029585799;0.00591716
robar;0;0.982248521;0.976331361
robar;1;0.017751479;0.023668639
aun;0;0.99408284;0.976331361
aun;1;0.00591716;0.023668639
señalar;0;0.98816568;0.99408284
señalar;1;0.01183432;0.00591716
zona;0;0.99408284;0.976331361
zona;1;0.00591716;0.023668639
llegar;0;0.98816568;0.970414201
llegar;1;0.01183432;0.029585799
cambiar;0;0.98816568;0.99408284
cambiar;1;0.01183432;0.00591716
prediccion;0;0.982248521;0.99408284
prediccion;1;0.017751479;0.00591716
esquina;0;0.99408284;0.98816568
esquina;1;0.00591716;0.01183432
informar;0;0.99408284;0.98816568
informar;1;0.00591716;0.01183432
bidegorri;0;0.99408284;0.982248521
bidegorri;1;0.00591716;0.017751479
carretera;0;0.99408284;0.982248521
carretera;1;0.00591716;0.017751479
paso;0;0.99408284;0.964497041
paso;1;0.00591716;0.035502959
buesa;0;0.98816568;0.98816568
buesa;1;0.01183432;0.01183432
derrota;0;0.98816568;0.99408284
derrota;1;0.01183432;0.00591716
victoria;0;0.982248521;0.99408284
victoria;1;0.017751479;0.00591716
visitante;0;0.98816568;0.98816568
visitante;1;0.01183432;0.01183432
debe;0;0.99408284;0.98816568
debe;1;0.00591716;0.01183432
decidir;0;0.98816568;0.99408284
decidir;1;0.01183432;0.00591716
limpia;0;0.98816568;0.99408284
limpia;1;0.01183432;0.00591716
trabajador;0;0.98816568;0.98816568
trabajador;1;0.01183432;0.01183432
deber;0;0.98816568;0.970414201
